7.5,3,6.6,5.1,2.4,4.2,2.2,2.6,6.1,0.4,194.4
5.5,4.3,8.7,1.5,1.6,4.5,0.7,3.5,9.9,4.4,255.4
8.6,1.8,7.7,3.3,4,3,3.9,4.9,0.4,6.2,228.2
8.3,7.8,3.4,8.5,0.4,3.6,2.4,1,8.4,7.6,272.3
0.3,5.3,4.3,5.7,4,5.7,2.1,7,3.1,3.2,234.6
6.4,1,7.6,9.3,0.9,3.8,4,4.5,5.6,4.9,265.8
0.7,5.4,8.8,2.3,7.3,9.1,7.2,1.1,8.8,7.1,357.3
5.6,4.6,6,7.8,7.2,2.6,9.2,5.1,8.2,2.7,323.4
5.2,0.2,2.3,9.1,7.3,5,7.2,2.8,0.5,7.2,267.8
5.6,3.9,5.9,2.6,3.3,1.6,4.4,2.1,5.5,8.1,253.2
2.1,2.8,3.7,7.6,7.2,7.3,0.2,8.4,10,5.9,351.8
6.1,6.1,3.9,0.6,4.4,4.9,6.6,2.7,4.4,6.9,265.2
8,4.6,0.7,4.7,5.7,7.5,9.7,1.1,2.4,5.7,272.4
6.4,9.8,4.6,5.4,0.4,0.5,1.1,6,5.9,8.7,264.9
5.8,8.2,7.8,7.4,0.2,8.7,0.6,5.6,7,10,345.8
4.6,1.6,9.9,9.4,8,5.9,2.2,10,6.7,8.4,390.4
8.1,2.5,7.6,1,0.4,1.7,8,7.4,4.4,4,255.3
5.6,2,1.6,8.9,0.2,6.7,3.6,9,3.9,3.6,262.2
5.9,8.6,7.3,7.4,1.3,5,7.4,3.6,8.8,9.5,367.4
7.8,1.4,5.3,7.5,8.9,6.2,4.3,8.3,1.1,6.2,313.2
2.7,0.3,7.4,8.9,5.4,1.3,2.5,0.7,1.8,2.6,168.6
1.2,5.9,8.8,0.3,0.8,9.8,4.6,5.9,0.3,7.9,265.4
5.4,0.8,3.1,4.5,8.2,7.4,4.2,1.6,2.8,6.7,261.6
4.3,9.8,8.8,1.8,9.5,3.7,10,6.1,0,3.8,293
0.8,7,1.6,7.8,3,2,5,6.3,4.2,7.2,282.7
7.7,5.5,4.5,6.8,9.7,2.5,6.3,6.6,4.7,1.7,282.4
9.7,7.9,5.6,8,4.8,7.8,7.2,3.2,1,8.1,314
1.1,7,8.4,7,4,5.2,8.1,4.7,6.7,6.8,346.7
2.2,1.3,5,3.8,1.7,8.5,9.7,7.1,2.6,4.3,291.4
7.5,3.6,1.8,6.4,6.2,2.3,6.1,6.2,5.6,8.9,322.5
7.1,6,5,3.2,4.7,4.2,0.7,3.4,3.1,4.6,204.9
3.1,0.4,3.9,7.4,4.7,7,8.7,9.1,0.4,7.6,328.5
3.5,3.5,5,1.1,5.3,1.5,5.8,6.9,0.9,2.2,192.8
6.6,5.6,1.1,3.7,9.4,8.5,3.9,2.8,4.9,6.5,300.3
7.3,7.2,0.9,8.9,1.3,3.7,1,7.3,0.1,9,249.2
4.6,2.2,9.6,5.9,5.2,1.8,0.8,5.7,2.3,7.5,250.3
1.8,9.8,9,8.2,5.1,1.6,8.5,6.3,8.7,6.1,368
7.2,0.7,1.1,1.1,2.2,9.1,3.5,3.3,8.9,3.6,252.6
2.2,5.7,7.7,9.6,8.9,5,6.3,7.2,5.2,1.8,320.8
4.7,2.5,9.5,3.4,2.4,6.8,4.5,3.6,9.5,3,281.7
4.7,3.1,1.4,0.6,4.4,6.5,7.1,4.5,5.2,4.2,260
6.4,1.7,1.4,2.8,9.1,6.6,5.7,3.6,5,2.5,249.2
3.5,0.3,0.6,9.4,10,3.5,3.6,6,4.9,6.7,301.4
6.6,8.6,0.9,7.5,8.2,2.4,4.6,3.9,9.1,1.7,275.9
8.3,5.7,6.6,2.9,2.5,9.9,5.6,5,9.3,6.5,351.2
4,2.7,1.5,9.1,1.1,1.3,6.4,7.2,2.6,0.2,194.6
8.8,8.9,9.6,0.7,9.2,1.3,8.3,9.1,1.8,9.2,352.2
2.6,5.3,9.4,2.7,2.2,9.8,1.5,4.7,5.3,8.5,312
5.5,0.9,9.1,1,4.4,1.9,1.9,0.3,0.6,2.7,123.3
0.9,5.5,6,3,3.2,7.5,4.5,3.9,6.1,8.3,306.3
9,8,9.7,6.9,1.2,3,3.9,0.2,7.9,2.5,237.2
1.4,0.4,4.3,7.3,0.8,8.8,7,6.9,3.4,7.2,311.2
2.5,5.8,1.7,2.9,1.9,7.1,3.9,6.8,1.5,4.1,227.4
2,3.4,4,8.8,6.8,1.1,3.2,1.9,1.9,2.4,176.4
7.8,0.3,8.5,4.4,2.8,7.6,8.3,9.3,0,7.8,331.1
4.8,9.4,7,9,7.5,7.4,2.3,7.3,6.5,7.1,371.6
7.4,9.9,7.9,5.9,9.7,0.1,1.4,3.2,7,4.9,278.1
