0,[0.011498503218515845]
1,[0.33023659305994196]
2,[0.33023659305994196]
3,[0.33023659305994196]
4,[0.33023659305994196]
5,[0.33023659305994196]
6,[0.33023659305994196]
7,[0.33023659305994196]
8,[0.33023659305994196]
9,[0.33023659305994196]
10,[0.33023659305994196]
11,[0.33023659305994196]
12,[0.33023659305994196]
13,[0.33023659305994196]
14,[0.33023659305994196]
15,[0.33023659305994196]
16,[0.33023659305994196]
17,[0.33023659305994196]
18,[0.33023659305994196]
19,[0.33023659305994196]
20,[0.33023659305994196]
21,[0.33023659305994196]
22,[0.33023659305994196]
23,[0.33023659305994196]
24,[0.33023659305994196]
25,[0.33023659305994196]
26,[0.33023659305994196]
27,[0.33023659305994196]
28,[0.33023659305994196]
29,[0.33023659305994196]
30,[0.33023659305994196]
31,[0.33023659305994196]
32,[0.33023659305994196]
33,[0.33023659305994196]
34,[0.33023659305994196]
35,[0.33023659305994196]
36,[0.33023659305994196]
37,[0.33023659305994196]
38,[0.33023659305994196]
39,[0.33023659305994196]
40,[0.33023659305994196]
41,[0.33023659305994196]
42,[0.33023659305994196]
43,[0.33023659305994196]
44,[0.33023659305994196]
45,[0.33023659305994196]
46,[0.33023659305994196]
47,[0.33023659305994196]
48,[0.33023659305994196]
49,[0.33023659305994196]
50,[0.33023659305994196]
51,[0.33023659305994196]
52,[0.33023659305994196]
53,[0.33023659305994196]
54,[0.33023659305994196]
55,[0.33023659305994196]
56,[0.33023659305994196]
57,[0.33023659305994196]
58,[0.33023659305994196]
59,[0.33023659305994196]
60,[0.33023659305994196]
61,[0.33023659305994196]
62,[0.33023659305994196]
63,[0.33023659305994196]
64,[0.33023659305994196]
65,[0.33023659305994196]
66,[0.33023659305994196]
67,[0.33023659305994196]
68,[0.33023659305994196]
69,[0.33023659305994196]
70,[0.33023659305994196]
71,[0.33023659305994196]
72,[0.33023659305994196]
73,[0.33023659305994196]
74,[0.33023659305994196]
75,[0.33023659305994196]
76,[0.33023659305994196]
77,[0.33023659305994196]
78,[0.33023659305994196]
79,[0.33023659305994196]
80,[0.33023659305994196]
81,[0.33023659305994196]
82,[0.33023659305994196]
83,[0.33023659305994196]
84,[0.33023659305994196]
85,[0.33023659305994196]
86,[0.33023659305994196]
87,[0.33023659305994196]
88,[0.33023659305994196]
89,[0.33023659305994196]
90,[0.33023659305994196]
91,[0.33023659305994196]
92,[0.33023659305994196]
93,[0.33023659305994196]
94,[0.33023659305994196]
95,[0.33023659305994196]
96,[0.33023659305994196]
97,[0.33023659305994196]
98,[0.33023659305994196]
99,[0.33023659305994196]
